task_id,ranking,rank,candidate_id,candidate_index,weight_labels,weights,value,war_rel_error,realad_rel_error,paired_complete
cahn_hilliard_o4,war,1,point_032,32,"[""1e+1"", ""1e+1""]","[10.0,10.0]",0.02454221066289811,0.02454221066289811,0.035990541169905396,True
cahn_hilliard_o4,war,2,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]",0.029764374073863908,0.029764374073863908,0.026400564086043236,True
cahn_hilliard_o4,war,3,point_026,26,"[""1e+0"", ""1e+2""]","[1.0,100.0]",0.030363312559683536,0.030363312559683536,0.030319052959856447,True
cahn_hilliard_o4,war,4,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]",0.030531919806056438,0.030531919806056438,0.014947256226500777,True
cahn_hilliard_o4,war,5,point_019,19,"[""1e-1"", ""1e+2""]","[0.1,100.0]",0.030634598482740246,0.030634598482740246,0.03198079099196413,True
cahn_hilliard_o4,war,6,point_038,38,"[""1e+2"", ""1e+0""]","[100.0,1.0]",0.03222171608297512,0.03222171608297512,0.06666125884052745,True
cahn_hilliard_o4,war,7,point_030,30,"[""1e+1"", ""1e-1""]","[10.0,0.1]",0.03245482721285411,0.03245482721285411,0.05030420757610168,True
cahn_hilliard_o4,war,8,point_041,41,"[""1e+2"", ""1e+3""]","[100.0,1000.0]",0.03333070208185985,0.03333070208185985,0.11747986611737452,True
cahn_hilliard_o4,war,9,point_037,37,"[""1e+2"", ""1e-1""]","[100.0,0.1]",0.03450697483217415,0.03450697483217415,0.04345524523572747,True
cahn_hilliard_o4,war,10,point_036,36,"[""1e+2"", ""1e-2""]","[100.0,0.01]",0.03499397260691828,0.03499397260691828,0.04440300290249952,True
cahn_hilliard_o4,realad,1,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]",0.014947256226500777,0.030531919806056438,0.014947256226500777,True
cahn_hilliard_o4,realad,2,point_024,24,"[""1e+0"", ""1e+0""]","[1.0,1.0]",0.019330029717760686,0.05439041234984767,0.019330029717760686,True
cahn_hilliard_o4,realad,3,point_017,17,"[""1e-1"", ""1e+0""]","[0.1,1.0]",0.02180935662831359,0.050496411349690656,0.02180935662831359,True
cahn_hilliard_o4,realad,4,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]",0.026400564086043236,0.029764374073863908,0.026400564086043236,True
cahn_hilliard_o4,realad,5,point_025,25,"[""1e+0"", ""1e+1""]","[1.0,10.0]",0.026758324015026903,0.057594857810856104,0.026758324015026903,True
cahn_hilliard_o4,realad,6,point_004,4,"[""1e-3"", ""1e+1""]","[0.001,10.0]",0.028845950447293538,0.04612257246374335,0.028845950447293538,True
cahn_hilliard_o4,realad,7,point_011,11,"[""1e-2"", ""1e+1""]","[0.01,10.0]",0.028948662231573618,0.04599700723855749,0.028948662231573618,True
cahn_hilliard_o4,realad,8,point_018,18,"[""1e-1"", ""1e+1""]","[0.1,10.0]",0.029836749062684798,0.04698591643263851,0.029836749062684798,True
cahn_hilliard_o4,realad,9,point_010,10,"[""1e-2"", ""1e+0""]","[0.01,1.0]",0.029900316468440002,0.05251925175942658,0.029900316468440002,True
cahn_hilliard_o4,realad,10,point_026,26,"[""1e+0"", ""1e+2""]","[1.0,100.0]",0.030319052959856447,0.030363312559683536,0.030319052959856447,True
cahn_hilliard_o4,geomean,1,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]",0.021362781383239857,0.030531919806056438,0.014947256226500777,True
cahn_hilliard_o4,geomean,2,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]",0.028032057812761586,0.029764374073863908,0.026400564086043236,True
cahn_hilliard_o4,geomean,3,point_032,32,"[""1e+1"", ""1e+1""]","[10.0,10.0]",0.029720152140652403,0.02454221066289811,0.035990541169905396,True
cahn_hilliard_o4,geomean,4,point_026,26,"[""1e+0"", ""1e+2""]","[1.0,100.0]",0.03034117468941701,0.030363312559683536,0.030319052959856447,True
cahn_hilliard_o4,geomean,5,point_019,19,"[""1e-1"", ""1e+2""]","[0.1,100.0]",0.031300458322511146,0.030634598482740246,0.03198079099196413,True
cahn_hilliard_o4,geomean,6,point_024,24,"[""1e+0"", ""1e+0""]","[1.0,1.0]",0.03242480974630095,0.05439041234984767,0.019330029717760686,True
cahn_hilliard_o4,geomean,7,point_017,17,"[""1e-1"", ""1e+0""]","[0.1,1.0]",0.03318575362373778,0.050496411349690656,0.02180935662831359,True
cahn_hilliard_o4,geomean,8,point_004,4,"[""1e-3"", ""1e+1""]","[0.001,10.0]",0.03647532645214908,0.04612257246374335,0.028845950447293538,True
cahn_hilliard_o4,geomean,9,point_011,11,"[""1e-2"", ""1e+1""]","[0.01,10.0]",0.036490434722160375,0.04599700723855749,0.028948662231573618,True
cahn_hilliard_o4,geomean,10,point_018,18,"[""1e-1"", ""1e+1""]","[0.1,10.0]",0.037442048529439644,0.04698591643263851,0.029836749062684798,True
cahn_hilliard_o4,minimax,1,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]",0.029764374073863908,0.029764374073863908,0.026400564086043236,True
cahn_hilliard_o4,minimax,2,point_026,26,"[""1e+0"", ""1e+2""]","[1.0,100.0]",0.030363312559683536,0.030363312559683536,0.030319052959856447,True
cahn_hilliard_o4,minimax,3,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]",0.030531919806056438,0.030531919806056438,0.014947256226500777,True
cahn_hilliard_o4,minimax,4,point_019,19,"[""1e-1"", ""1e+2""]","[0.1,100.0]",0.03198079099196413,0.030634598482740246,0.03198079099196413,True
cahn_hilliard_o4,minimax,5,point_032,32,"[""1e+1"", ""1e+1""]","[10.0,10.0]",0.035990541169905396,0.02454221066289811,0.035990541169905396,True
cahn_hilliard_o4,minimax,6,point_037,37,"[""1e+2"", ""1e-1""]","[100.0,0.1]",0.04345524523572747,0.03450697483217415,0.04345524523572747,True
cahn_hilliard_o4,minimax,7,point_036,36,"[""1e+2"", ""1e-2""]","[100.0,0.01]",0.04440300290249952,0.03499397260691828,0.04440300290249952,True
cahn_hilliard_o4,minimax,8,point_035,35,"[""1e+2"", ""1e-3""]","[100.0,0.001]",0.0450586985622487,0.03506538999608221,0.0450586985622487,True
cahn_hilliard_o4,minimax,9,point_011,11,"[""1e-2"", ""1e+1""]","[0.01,10.0]",0.04599700723855749,0.04599700723855749,0.028948662231573618,True
cahn_hilliard_o4,minimax,10,point_004,4,"[""1e-3"", ""1e+1""]","[0.001,10.0]",0.04612257246374335,0.04612257246374335,0.028845950447293538,True
cahn_hilliard_o6,war,1,point_032,32,"[""1e+1"", ""1e+1""]","[10.0,10.0]",0.029409737235105746,0.029409737235105746,0.1131861694944507,True
cahn_hilliard_o6,war,2,point_033,33,"[""1e+1"", ""1e+2""]","[10.0,100.0]",0.03559842873812981,0.03559842873812981,0.128125679457552,True
cahn_hilliard_o6,war,3,point_040,40,"[""1e+2"", ""1e+2""]","[100.0,100.0]",0.036636115504658416,0.036636115504658416,0.19233588285025643,True
cahn_hilliard_o6,war,4,point_039,39,"[""1e+2"", ""1e+1""]","[100.0,10.0]",0.04795080273811927,0.04795080273811927,0.19953690985988082,True
cahn_hilliard_o6,war,5,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]",0.04857591050918163,0.04857591050918163,0.22173175744569767,True
cahn_hilliard_o6,war,6,point_019,19,"[""1e-1"", ""1e+2""]","[0.1,100.0]",0.048721962471124515,0.048721962471124515,0.18845537479575658,True
cahn_hilliard_o6,war,7,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]",0.04899566035826071,0.04899566035826071,0.23270451940335063,True
cahn_hilliard_o6,war,8,point_038,38,"[""1e+2"", ""1e+0""]","[100.0,1.0]",0.04969950193629099,0.04969950193629099,0.17279460052794293,True
cahn_hilliard_o6,war,9,point_035,35,"[""1e+2"", ""1e-3""]","[100.0,0.001]",0.05021697458943806,0.05021697458943806,0.19209538818448657,True
cahn_hilliard_o6,war,10,point_036,36,"[""1e+2"", ""1e-2""]","[100.0,0.01]",0.05033732918384164,0.05033732918384164,0.19141569405375078,True
cahn_hilliard_o6,realad,1,point_025,25,"[""1e+0"", ""1e+1""]","[1.0,10.0]",0.09786496900892762,0.05572851159098465,0.09786496900892762,True
cahn_hilliard_o6,realad,2,point_021,21,"[""1e+0"", ""1e-3""]","[1.0,0.001]",0.09932164334698454,0.077844922045375,0.09932164334698454,True
cahn_hilliard_o6,realad,3,point_028,28,"[""1e+1"", ""1e-3""]","[10.0,0.001]",0.10491384911517329,0.06441006773876246,0.10491384911517329,True
